RowID,ProductID,Category,SubCategory,ProductName
15978,TEC-PH-10003963,Technology,Phones,"Apple Signal Booster, Full Size"
11954,OFF-BI-10003705,Office Supplies,Binders,"Wilson Jones Binding Machine, Recycled"
22377,FUR-BO-10003408,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Metal"
11956,OFF-AR-10000399,Office Supplies,Art,"Stanley Canvas, Water Color"
592,TEC-PH-10002871,Technology,Phones,"Motorola Audio Dock, with Caller ID"
22029,OFF-BI-10004651,Office Supplies,Binders,"Cardinal Binding Machine, Clear"
3683,OFF-AP-10002753,Office Supplies,Appliances,"Cuisinart Toaster, Red"
11955,TEC-AC-10004379,Technology,Accessories,"SanDisk Flash Drive, Programmable"
594,TEC-AC-10002760,Technology,Accessories,"Memorex Memory Card, Erganomic"
2464,TEC-AC-10003851,Technology,Accessories,"Memorex Keyboard, Bluetooth"
596,FUR-CH-10004783,Furniture,Chairs,"Novimex Chairmat, Red"
591,OFF-ST-10001374,Office Supplies,Storage,"Rogers Trays, Wire Frame"
593,OFF-AR-10001991,Office Supplies,Art,"Stanley Markers, Easy-Erase"
595,FUR-FU-10003283,Furniture,Furnishings,"Rubbermaid Stacking Tray, Durable"
22376,OFF-ST-10004857,Office Supplies,Storage,"Smead Folders, Single Width"
32669,OFF-LA-10002312,Office Supplies,Labels,Avery 490
22028,OFF-ST-10003319,Office Supplies,Storage,"Rogers Box, Wire Frame"
2465,OFF-BI-10000188,Office Supplies,Binders,"Cardinal Hole Reinforcements, Economy"
39250,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub
3684,OFF-BI-10004305,Office Supplies,Binders,"Cardinal Hole Reinforcements, Durable"
2463,OFF-BI-10002222,Office Supplies,Binders,"Cardinal Binder Covers, Clear"
32670,OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2"""
39251,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets
22375,OFF-LA-10001764,Office Supplies,Labels,"Avery Round Labels, Adjustable"
590,OFF-EN-10002226,Office Supplies,Envelopes,"Jiffy Clasp Envelope, Recycled"
21617,FUR-CH-10003841,Furniture,Chairs,"Harbour Creations Swivel Stool, Black"
15780,FUR-BO-10004254,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional"
31544,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
33498,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1
31541,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
16113,TEC-AC-10000140,Technology,Accessories,"Enermax Numeric Keypad, Bluetooth"
5434,FUR-BO-10002084,Furniture,Bookcases,"Dania Library with Doors, Metal"
16114,TEC-AC-10002263,Technology,Accessories,"SanDisk Memory Card, Bluetooth"
8431,TEC-AC-10001082,Technology,Accessories,"Enermax Keyboard, Bluetooth"
16115,OFF-ST-10000127,Office Supplies,Storage,"Fellowes Shelving, Wire Frame"
8767,TEC-PH-10004888,Technology,Phones,"Samsung Audio Dock, VoIP"
8136,OFF-AR-10003336,Office Supplies,Art,"Sanford Pencil Sharpener, Easy-Erase"
13637,TEC-PH-10003770,Technology,Phones,"Apple Speaker Phone, Full Size"
47598,OFF-FEL-10001865,Office Supplies,Storage,"Fellowes File Cart, Wire Frame"
16342,OFF-EN-10003465,Office Supplies,Envelopes,"Cameo Peel and Seal, Security-Tint"
2730,TEC-AC-10003738,Technology,Accessories,"Enermax Mouse, Erganomic"
31604,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners
10326,OFF-BI-10002225,Office Supplies,Binders,"Cardinal Binding Machine, Durable"
40446,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges
30911,OFF-ST-10004972,Office Supplies,Storage,"Eldon Shelving, Blue"
16343,OFF-BI-10004924,Office Supplies,Binders,"Cardinal 3-Hole Punch, Economy"
31542,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart
50987,TEC-ENE-10002686,Technology,Accessories,"Enermax Numeric Keypad, Erganomic"
50989,OFF-SME-10002823,Office Supplies,Storage,"Smead Trays, Blue"
40447,OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor
21618,FUR-CH-10001204,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Red"
31543,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
21192,OFF-EN-10002007,Office Supplies,Envelopes,"Kraft Clasp Envelope, with clear poly window"
47600,OFF-WIL-10002233,Office Supplies,Binders,"Wilson Jones Index Tab, Durable"
47599,OFF-KRA-10000492,Office Supplies,Envelopes,"Kraft Manila Envelope, Recycled"
47597,OFF-SAN-10002839,Office Supplies,Art,"Sanford Canvas, Fluorescent"
15778,OFF-BI-10000179,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Economy"
33497,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive
31545,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
15779,OFF-EN-10002849,Office Supplies,Envelopes,"Kraft Interoffice Envelope, with clear poly window"
18055,OFF-BI-10003440,Office Supplies,Binders,"Avery Binder Covers, Economy"
44800,OFF-STO-10000683,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Assorted Sizes"
31603,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
44799,OFF-ADV-10004875,Office Supplies,Fasteners,"Advantus Staples, Bulk Pack"
50988,OFF-IBI-10001640,Office Supplies,Binders,"Ibico Hole Reinforcements, Economy"
25451,FUR-TA-10003747,Furniture,Tables,"Lesro Round Table, Rectangular"
32615,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit
25452,FUR-TA-10003185,Furniture,Tables,"Chromcraft Computer Table, Fully Assembled"
2107,OFF-AR-10000019,Office Supplies,Art,"BIC Highlighters, Blue"
2109,FUR-BO-10004567,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile"
2108,OFF-PA-10001170,Office Supplies,Paper,"Xerox Cards & Envelopes, Multicolor"
12319,OFF-AR-10003217,Office Supplies,Art,"Sanford Highlighters, Fluorescent"
50374,FUR-ELD-10000857,Furniture,Furnishings,"Eldon Door Stop, Erganomic"
32012,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets
50375,OFF-ACC-10001285,Office Supplies,Binders,"Acco Index Tab, Clear"
32616,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders
22530,TEC-CO-10000129,Technology,Copiers,"Brother Fax and Copier, Color"
22532,TEC-MA-10000429,Technology,Machines,"Konica Card Printer, Red"
44795,FUR-OFF-10002542,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable"
42196,FUR-SAF-10002180,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red"
19481,FUR-CH-10003440,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Set of Two"
19084,TEC-AC-10001486,Technology,Accessories,"Belkin Flash Drive, Programmable"
49401,OFF-ROG-10001399,Office Supplies,Storage,"Rogers Shelving, Single Width"
44045,OFF-STA-10004108,Office Supplies,Art,"Stanley Canvas, Easy-Erase"
49398,OFF-CUI-10000140,Office Supplies,Appliances,"Cuisinart Microwave, Silver"
19087,OFF-ST-10003414,Office Supplies,Storage,"Tenex Shelving, Industrial"
41775,OFF-HOO-10002715,Office Supplies,Appliances,"Hoover Coffee Grinder, White"
19086,OFF-FA-10001097,Office Supplies,Fasteners,"Accos Paper Clips, Assorted Sizes"
22531,OFF-EN-10004173,Office Supplies,Envelopes,"Ames Peel and Seal, Recycled"
27409,FUR-BO-10003086,Furniture,Bookcases,"Safco Library with Doors, Traditional"
48465,OFF-STI-10002716,Office Supplies,Supplies,"Stiletto Box Cutter, Serrated"
19085,OFF-AR-10001418,Office Supplies,Art,"BIC Markers, Easy-Erase"
51033,OFF-CAR-10004661,Office Supplies,Binders,"Cardinal Binding Machine, Recycled"
41772,OFF-ELD-10000151,Office Supplies,Storage,"Eldon File Cart, Industrial"
49400,FUR-TEN-10000407,Furniture,Furnishings,"Tenex Door Stop, Erganomic"
27408,TEC-AC-10003734,Technology,Accessories,"Memorex Numeric Keypad, Erganomic"
33137,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916
33136,OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner
44792,OFF-ACM-10003510,Office Supplies,Supplies,"Acme Scissors, High Speed"
33135,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
46418,TEC-SAN-10003793,Technology,Accessories,"SanDisk Memory Card, Erganomic"
33469,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock
49399,OFF-CAR-10000687,Office Supplies,Binders,"Cardinal Binder Covers, Economy"
41773,OFF-IBI-10004074,Office Supplies,Binders,"Ibico 3-Hole Punch, Clear"
27410,OFF-PA-10000048,Office Supplies,Paper,"Xerox Memo Slips, Multicolor"
46170,OFF-AVE-10004708,Office Supplies,Binders,"Avery Binder, Recycled"
41774,OFF-AVE-10004570,Office Supplies,Binders,"Avery Binder Covers, Economy"
48466,OFF-ADV-10004598,Office Supplies,Fasteners,"Advantus Paper Clips, Metal"
42197,OFF-AVE-10003504,Office Supplies,Labels,"Avery Legal Exhibit Labels, 5000 Label Set"
41694,TEC-ENE-10000895,Technology,Accessories,"Enermax Mouse, Bluetooth"
33134,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
50866,OFF-HAR-10001855,Office Supplies,Labels,"Harbour Creations Round Labels, Alphabetical"
44794,OFF-STA-10002719,Office Supplies,Art,"Stanley Pencil Sharpener, Easy-Erase"
33707,OFF-FA-10000992,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes"
44793,OFF-FEL-10000998,Office Supplies,Storage,"Fellowes Box, Single Width"
41776,OFF-CAR-10002054,Office Supplies,Binders,"Cardinal Hole Reinforcements, Economy"
27369,OFF-ST-10003295,Office Supplies,Storage,"Tenex Lockers, Blue"
18577,TEC-MA-10004669,Technology,Machines,"Epson Inkjet, Wireless"
27371,OFF-ST-10004837,Office Supplies,Storage,"Eldon File Cart, Single Width"
27372,TEC-PH-10002042,Technology,Phones,"Cisco Audio Dock, Full Size"
3788,OFF-PA-10004294,Office Supplies,Paper,"Xerox Computer Printout Paper, 8.5 x 11"
27370,FUR-CH-10000974,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black"
14029,OFF-ST-10002263,Office Supplies,Storage,"Rogers Trays, Wire Frame"
39539,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive
46208,TEC-APP-10002321,Technology,Phones,"Apple Signal Booster, Full Size"
5460,FUR-BO-10004082,Furniture,Bookcases,"Sauder Classic Bookcase, Metal"
5461,FUR-CH-10004095,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable"
30441,FUR-FU-10001098,Furniture,Furnishings,"Deflect-O Door Stop, Black"
9045,OFF-AP-10001049,Office Supplies,Appliances,"Breville Coffee Grinder, Silver"
8048,OFF-ST-10003056,Office Supplies,Storage,"Tenex Folders, Single Width"
34491,OFF-PA-10004100,Office Supplies,Paper,Xerox 216
11098,OFF-BI-10002894,Office Supplies,Binders,"Avery Binding Machine, Durable"
8047,OFF-SU-10002962,Office Supplies,Supplies,"Acme Scissors, Serrated"
24068,OFF-SU-10001308,Office Supplies,Supplies,"Fiskars Trimmer, Serrated"
11099,OFF-BI-10004028,Office Supplies,Binders,"Ibico Index Tab, Durable"
12375,OFF-AR-10000659,Office Supplies,Art,"BIC Pencil Sharpener, Fluorescent"
45708,OFF-ROG-10000332,Office Supplies,Storage,"Rogers Box, Single Width"
39538,OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders
32458,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
9046,OFF-AR-10000493,Office Supplies,Art,"Boston Pencil Sharpener, Fluorescent"
16360,OFF-LA-10004709,Office Supplies,Labels,"Avery Round Labels, Laser Printer Compatible"
46827,OFF-HON-10001132,Office Supplies,Labels,"Hon Round Labels, Adjustable"
34490,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders
42692,TEC-SAN-10003238,Technology,Accessories,"SanDisk Router, Erganomic"
6860,TEC-CO-10001177,Technology,Copiers,"HP Fax and Copier, Color"
49960,OFF-IBI-10000959,Office Supplies,Binders,"Ibico Binding Machine, Recycled"
43388,OFF-ELD-10000967,Office Supplies,Storage,"Eldon Folders, Industrial"
42691,OFF-CUI-10004536,Office Supplies,Appliances,"Cuisinart Blender, Black"
8419,OFF-EN-10003898,Office Supplies,Envelopes,"Ames Peel and Seal, Set of 50"
6861,OFF-FA-10003034,Office Supplies,Fasteners,"OIC Rubber Bands, 12 Pack"
42690,OFF-IBI-10001951,Office Supplies,Binders,"Ibico Hole Reinforcements, Clear"
43389,OFF-IBI-10002486,Office Supplies,Binders,"Ibico Index Tab, Clear"
40002,OFF-FA-10000254,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance
32103,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone
23849,TEC-AC-10002914,Technology,Accessories,"Memorex Router, Programmable"
14794,TEC-CO-10000013,Technology,Copiers,"Brother Fax Machine, Laser"
48319,TEC-ENE-10000154,Technology,Accessories,"Enermax Router, Bluetooth"
21077,OFF-ST-10004576,Office Supplies,Storage,"Rogers File Cart, Single Width"
50931,TEC-CAN-10003392,Technology,Copiers,"Canon Copy Machine, Color"
48321,OFF-STA-10000298,Office Supplies,Art,"Stanley Canvas, Blue"
17719,OFF-ST-10000624,Office Supplies,Storage,"Eldon File Cart, Single Width"
35365,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray
34128,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B"
3035,FUR-BO-10001781,Furniture,Bookcases,"Bush Library with Doors, Traditional"
21079,OFF-BI-10001032,Office Supplies,Binders,"Avery Binding Machine, Recycled"
17718,FUR-BO-10000022,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional"
20238,OFF-ST-10002159,Office Supplies,Storage,"Fellowes Lockers, Wire Frame"
21080,OFF-SU-10002388,Office Supplies,Supplies,"Elite Shears, Easy Grip"
21078,OFF-ST-10003964,Office Supplies,Storage,"Fellowes Lockers, Industrial"
8447,TEC-CO-10000043,Technology,Copiers,"Brother Fax Machine, Laser"
43893,TEC-STA-10000546,Technology,Machines,"StarTech Calculator, Red"
17720,TEC-CO-10003124,Technology,Copiers,"Canon Ink, Laser"
21082,OFF-AP-10002882,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Silver"
38855,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
21076,OFF-EN-10002140,Office Supplies,Envelopes,"Jiffy Business Envelopes, Recycled"
50930,TEC-OKI-10001062,Technology,Machines,"Okidata Printer, White"
28954,FUR-CH-10001477,Furniture,Chairs,"Novimex Chairmat, Black"
17722,OFF-ST-10004695,Office Supplies,Storage,"Fellowes File Cart, Blue"
17066,OFF-ST-10004020,Office Supplies,Storage,"Tenex Lockers, Single Width"
28953,OFF-BI-10001744,Office Supplies,Binders,"Acco Binding Machine, Economy"
50932,OFF-SME-10003752,Office Supplies,Storage,"Smead File Cart, Single Width"
21084,FUR-CH-10004572,Furniture,Chairs,"Harbour Creations Bag Chairs, Red"
23848,OFF-SU-10003803,Office Supplies,Supplies,"Acme Trimmer, Steel"
17721,OFF-SU-10001578,Office Supplies,Supplies,"Stiletto Shears, High Speed"
17065,OFF-AR-10000184,Office Supplies,Art,"Boston Pencil Sharpener, Water Color"
21075,OFF-ST-10003547,Office Supplies,Storage,"Smead Shelving, Blue"
14261,OFF-ST-10004739,Office Supplies,Storage,"Rogers Folders, Industrial"
17064,OFF-PA-10003359,Office Supplies,Paper,"Eaton Cards & Envelopes, 8.5 x 11"
39685,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector
17067,TEC-AC-10001226,Technology,Accessories,"Enermax Mouse, Programmable"
48085,TEC-SAM-10001017,Technology,Phones,"Samsung Speaker Phone, Cordless"
36124,OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins"
6937,FUR-CH-10003697,Furniture,Chairs,"Novimex Chairmat, Adjustable"
41165,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock"
23847,OFF-EN-10000657,Office Supplies,Envelopes,"Jiffy Peel and Seal, with clear poly window"
3034,OFF-PA-10002382,Office Supplies,Paper,"Eaton Note Cards, Premium"
20239,OFF-ST-10001818,Office Supplies,Storage,"Smead Trays, Blue"
49416,TEC-EPS-10001323,Technology,Machines,"Epson Calculator, Wireless"
21083,TEC-MA-10004064,Technology,Machines,"Panasonic Calculator, Red"
20236,OFF-BI-10004220,Office Supplies,Binders,"Cardinal 3-Hole Punch, Recycled"
20237,OFF-BI-10000323,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Clear"
46411,OFF-STA-10004163,Office Supplies,Art,"Stanley Markers, Fluorescent"
8446,OFF-ST-10000423,Office Supplies,Storage,"Rogers Trays, Blue"
35364,OFF-LA-10001771,Office Supplies,Labels,Avery 513
34129,TEC-PH-10000673,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset
48083,TEC-ENE-10004728,Technology,Accessories,"Enermax Keyboard, Erganomic"
21081,OFF-SU-10003651,Office Supplies,Supplies,"Elite Ruler, Serrated"
45070,OFF-AVE-10004556,Office Supplies,Binders,"Avery Hole Reinforcements, Recycled"
48320,OFF-AVE-10004556,Office Supplies,Binders,"Avery Hole Reinforcements, Recycled"
38856,OFF-PA-10000806,Office Supplies,Paper,Xerox 1934
8445,OFF-LA-10002401,Office Supplies,Labels,"Avery Shipping Labels, Laser Printer Compatible"
37192,OFF-LA-10003498,Office Supplies,Labels,Avery 475
6913,OFF-LA-10000116,Office Supplies,Labels,"Harbour Creations File Folder Labels, Adjustable"
32102,OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener
44459,OFF-BIN-10004569,Office Supplies,Art,"Binney & Smith Highlighters, Blue"
44461,OFF-AVE-10002892,Office Supplies,Binders,"Avery 3-Hole Punch, Recycled"
38857,FUR-FU-10003142,Furniture,Furnishings,"Master Big Foot Doorstop, Beige"
35455,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes
44460,OFF-SAN-10002441,Office Supplies,Art,"Sanford Highlighters, Blue"
41167,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers
1416,OFF-FA-10003496,Office Supplies,Fasteners,"Stockwell Push Pins, Assorted Sizes"
48082,OFF-CAR-10002942,Office Supplies,Binders,"Cardinal 3-Hole Punch, Recycled"
48086,OFF-ELD-10000967,Office Supplies,Storage,"Eldon Folders, Industrial"
35363,OFF-AR-10000634,Office Supplies,Art,Newell 320
37193,OFF-PA-10004947,Office Supplies,Paper,Staples
36125,OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft"
48084,OFF-SME-10000335,Office Supplies,Storage,"Smead Box, Wire Frame"
35362,OFF-FA-10003021,Office Supplies,Fasteners,Staples
41166,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder
33088,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
15743,TEC-AC-10001258,Technology,Accessories,"Belkin Router, Erganomic"
35791,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs
36201,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs
31061,FUR-TA-10000649,Furniture,Tables,"Bevis Computer Table, Adjustable Height"
17043,TEC-CO-10004042,Technology,Copiers,"Brother Wireless Fax, Laser"
11244,OFF-BI-10002172,Office Supplies,Binders,"Acco Binding Machine, Recycled"
39300,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray
35788,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier
28276,FUR-FU-10000666,Furniture,Furnishings,"Rubbermaid Frame, Black"
2097,FUR-BO-10004565,Furniture,Bookcases,"Sauder Corner Shelving, Traditional"
13115,OFF-ST-10001222,Office Supplies,Storage,"Eldon Shelving, Single Width"
17044,OFF-ST-10000632,Office Supplies,Storage,"Rogers Shelving, Single Width"
26195,TEC-CO-10002788,Technology,Copiers,"Hewlett Personal Copier, Digital"
